"","clusternum","year","usage","num_rdt","num_rdt_positive","prev","lat","long"
"180",181,2015,0.5,21.072809,0,0,0.86832,35.116085
"181",182,2015,0.328125,4.132615,0,0,0.528239,35.256068
"182",183,2015,0.661971830985915,6.35527,0,0,0.542019,35.316789
"183",184,2015,0.031496062992126,15.176972,0,0,0.989896,35.459122
"184",185,2015,0.284615384615385,11.081364,0.791526,0.0714285714285714,0.298492,35.701442
"185",186,2015,0.25,0.526677,0,0,0.989416,35.547058
"186",187,2015,0.225352112676056,2.173104,0,0,0.637726,35.474157
"187",188,2015,0.121495327102804,13.572996,0,0,0.478621,35.146043
"188",189,2015,0.537878787878788,27.726408,0,0,0.056697,35.219799
"189",190,2015,0.819047619047619,13.072932,2.178822,0.166666666666667,0.020925,34.811755
"190",191,2015,0.458715596330275,11.441173,0,0,0.192955,35.07558
"191",192,2015,0.566371681415929,3.837372,0,0,0.222568,35.171655
"192",193,2015,0.0833333333333333,4.27742,0,0,-0.151844,36.942464
"193",194,2015,0,32.600832,0,0,0.52754,36.55298
"194",195,2015,0.455445544554455,12.565812,0,0,0.274013,36.54049
"195",196,2015,0.283582089552239,1.90729,0,0,0.021378,37.075456
"196",197,2015,0.394736842105263,2.481568,0,0,0.035882,36.355078
"197",198,2015,0.156862745098039,30.88555,2.470844,0.08,-0.063859,36.078409
"198",199,2015,0.0465116279069767,30.588376,0,0,-0.868867,36.509278
"199",200,2015,0.117647058823529,14.318139,0,0,-0.285024,35.771767
"200",201,2015,0.0612244897959184,27.444744,0,0,-0.391185,35.905898
"201",202,2015,0.157894736842105,10.70244,0,0,-0.298219,36.04901
"202",203,2015,0.483516483516484,12.61864,0,0,-0.302347,36.064548
"203",204,2015,0.145454545454545,15.008391,0,0,-0.989751,36.593005
"204",205,2015,0.0465116279069767,16.81038,0,0,-0.741104,36.511444
"205",206,2015,0.346153846153846,20.991072,2.623884,0.125,-1.51164,35.864635
"206",207,2015,0.116788321167883,23.363806,0,0,-0.979052,35.754441
"207",208,2015,0.745341614906832,19.204176,0,0,-1.042602,35.135573
"208",209,2015,0.520547945205479,2.83151,0,0,-1.080373,35.860237
"209",210,2015,0.410958904109589,6.344076,0,0,-1.08353,35.897523
"210",211,2015,0.0471698113207547,13.114945,0,0,-2.128319,36.701307
"211",212,2015,0.294117647058824,15.95124,1.993905,0.125,-1.682124,36.886084
"212",213,2015,0.530120481927711,11.680317,0,0,-1.483039,36.959232
"213",214,2015,0.674698795180723,10.517199,0,0,-1.391726,36.761861
"214",215,2015,0.7,23.777951,0,0,-0.131432,35.482794
"215",216,2015,0.714285714285714,21.208605,0,0,-0.580043,35.14097
